Group1	Group2	Significance	Fold_change	Concentration	Passage1	Passage2	FDR	FDR_sig	Compare	Compound
7_Loperamide_25	7_DMSO_control_0	0.0285714285714286	-0.272152409164028	25	7	7	0.0333333333333334	Sig	auc_l	Loperamide
4_Loperamide_25	4_DMSO_control_0	0.0285714285714286	-0.274585886445066	25	4	4	0.0333333333333334	Sig	auc_l	Loperamide
0_Loperamide_50	0_DMSO_control_0	0.0285714285714286	-0.226482822824786	50	0	0	0.0333333333333334	Sig	auc_l	Loperamide
7_Loperamide_50	7_DMSO_control_0	0.0285714285714286	-0.232771277116877	50	7	7	0.0333333333333334	Sig	auc_l	Loperamide
4_Loperamide_50	4_DMSO_control_0	0.0285714285714286	-0.433280791230201	50	4	4	0.0333333333333334	Sig	auc_l	Loperamide
4_Simvastatin_50	4_DMSO_control_0	0.0285714285714286	-0.356584853587294	50	4	4	0.0363636363636364	Sig	auc_l	Simvastatin
0_Simvastatin_50	0_DMSO_control_0	0.0285714285714286	-0.330823201332379	50	0	0	0.0363636363636364	Sig	auc_l	Simvastatin
10_Simvastatin_50	10_DMSO_control_0	0.0285714285714286	-0.283412028964193	50	10	10	0.0363636363636364	Sig	auc_l	Simvastatin
7_Simvastatin_50	7_DMSO_control_0	0.0285714285714286	-0.273202389869031	50	7	7	0.0363636363636364	Sig	auc_l	Simvastatin
14_Simvastatin_50	14_DMSO_control_0	0.0285714285714286	-0.261611597635643	50	14	14	0.0363636363636364	Sig	auc_l	Simvastatin
10_PFOA_500	10_DMSO_control_0	0.0010989010989011	-0.679605537572456	500	10	10	0.00521978021978022	Sig	auc_l	PFOA
5_PFOA_500	5_DMSO_control_0	0.00404040404040404	-0.627569461434418	500	5	5	0.0127946127946128	Sig	auc_l	PFOA
0_PFOA_500	0_DMSO_control_0	0.0010989010989011	-0.429787962690067	500	0	0	0.00521978021978022	Sig	auc_l	PFOA
15_PFOA_500	15_DMSO_control_0	0.00404040404040404	-0.691134159823174	500	15	15	0.0127946127946128	Sig	auc_l	PFOA
20_PFOA_500	20_DMSO_control_0	0.0010989010989011	-0.523168012690251	500	20	20	0.00521978021978022	Sig	auc_l	PFOA
15_PFNA_250	15_DMSO_control_0	0.00404040404040404	-0.712826567423649	250	15	15	0.0104395604395604	Sig	auc_l	PFNA
10_PFNA_250	10_DMSO_control_0	0.0010989010989011	-0.734221715810321	250	10	10	0.00417582417582418	Sig	auc_l	PFNA
5_PFNA_250	5_DMSO_control_0	0.00404040404040404	-0.691367025962022	250	5	5	0.0104395604395604	Sig	auc_l	PFNA
20_PFNA_250	20_DMSO_control_0	0.0010989010989011	-0.500913129193368	250	20	20	0.00417582417582418	Sig	auc_l	PFNA
0_PFNA_250	0_DMSO_control_0	0.0010989010989011	-0.944951774619932	250	0	0	0.00417582417582418	Sig	auc_l	PFNA
4_Ezetimibe_50	4_DMSO_control_0	0.0285714285714286	-0.256682548777308	50	4	4	0.04	Sig	auc_l	Ezetimibe
7_Ezetimibe_50	7_DMSO_control_0	0.0285714285714286	-0.308984003623101	50	7	7	0.04	Sig	auc_l	Ezetimibe
10_Ezetimibe_50	10_DMSO_control_0	0.0285714285714286	-0.210523345830988	50	10	10	0.04	Sig	auc_l	Ezetimibe
17_Ezetimibe_50	17_DMSO_control_0	0.0285714285714286	-0.201371143864457	50	17	17	0.04	Sig	auc_l	Ezetimibe
